id,Clicks,Impressions,CTR,Position,Date,Device
0,103.0,403.0,0.22874024352840142,23.473208732057415,2019-05-01,desktop
1,118.0,442.0,0.26955773643336217,17.33315965889902,2019-05-02,desktop
2,124.0,408.0,0.3135305673072441,18.746932777220124,2019-05-03,desktop
3,76.0,329.0,0.23782011562064878,23.893099188128662,2019-05-04,desktop
4,97.0,571.0,0.2948686989850783,19.45751044507941,2019-05-05,desktop
5,143.0,512.0,0.3097751209791672,13.499720473712296,2019-05-06,desktop
6,144.0,486.0,0.33618232255735564,16.809641300148247,2019-05-07,desktop
7,114.0,427.0,0.2890073088017822,20.583796319272125,2019-05-08,desktop
8,85.0,296.0,0.2594745670995671,23.18867640692641,2019-05-09,desktop
9,70.0,320.0,0.1855618757460863,30.56374308829572,2019-05-10,desktop
10,63.0,374.0,0.15349155755976757,32.22211386135032,2019-05-11,desktop
11,72.0,335.0,0.20720804225873884,27.625886026340357,2019-05-12,desktop
12,111.0,429.0,0.19526494473911568,23.247848314865024,2019-05-13,desktop
13,95.0,355.0,0.2046122776679842,27.0620506011199,2019-05-14,desktop
14,95.0,357.0,0.24182717521598437,25.88250387325203,2019-05-15,desktop
15,95.0,341.0,0.2558378661762808,27.744270058306643,2019-05-16,desktop
16,110.0,375.0,0.2224384971248179,29.494596664516475,2019-05-17,desktop
17,96.0,363.0,0.2417667907141591,22.165227696767168,2019-05-18,desktop
18,74.0,562.0,0.14736322986242034,28.677053814686843,2019-05-19,desktop
19,100.0,522.0,0.17730848844036695,27.598930956860272,2019-05-20,desktop
20,65.0,315.0,0.1856829924461503,27.829513977250816,2019-05-21,desktop
21,105.0,406.0,0.21892026442026447,29.61306443781444,2019-05-22,desktop
22,89.0,314.0,0.27830066253140356,27.366616661584928,2019-05-23,desktop
23,97.0,317.0,0.24517880098470826,31.20221133580203,2019-05-24,desktop
24,70.0,284.0,0.19483906610581803,32.382163256606994,2019-05-25,desktop
25,57.0,293.0,0.17896457634437177,31.942388442333453,2019-05-26,desktop
26,98.0,404.0,0.1858006743186411,25.664952130184655,2019-05-27,desktop
27,86.0,264.0,0.2467147793726741,26.95958732057416,2019-05-28,desktop
28,93.0,376.0,0.2527826135030671,28.205115460219172,2019-05-29,desktop
29,141.0,465.0,0.287644975078249,19.225253813615698,2019-05-30,desktop
30,130.0,439.0,0.30863928187091094,24.541440477929328,2019-05-31,desktop
